1;3877;3003;-1
2;3314;4572;-1
3;3726;12063;1
4;3786;12646;1
5;11004;7581;-1
6;3861;1646;-1
7;3771;3032;-1
8;3857;12002;1
9;3388;12200;1
10;3287;2372;-1
11;3677;12317;1
12;3232;2596;-1
13;4485;13226;1
14;6285;12334;0
15;3296;12680;1
16;4807;12429;1
17;4604;1858;-1
18;3215;3405;-1
19;4851;13621;0
20;4353;4407;-1
21;3297;14472;1
22;7248;6973;0
23;4423;13807;1
24;3280;2614;-1
25;3655;3769;-1
26;5008;473;-1
27;3900;3509;-1
28;5228;11169;0
29;4691;10585;1
30;4024;2112;-1
31;4274;3518;-1
32;3394;13625;1
33;3675;250;-1
34;3848;3341;-1
35;4208;2510;-1
36;4391;1860;-1
37;4273;903;-1
38;3856;2183;-1
39;4726;363;-1
40;5608;11340;0
41;2975;3060;-1
42;3586;13719;1
43;3993;12418;1
44;4549;305;-1
45;3679;1561;-1
46;3381;5023;-1
47;3566;11625;1
48;4163;12917;1
49;4980;50;-1
50;4809;156;-1
51;4019;14596;1
52;4171;12606;1
53;4291;665;-1
54;6529;12038;1
55;3408;12685;1
56;4537;11489;1
57;4604;10178;1
58;2999;12665;1
59;3779;14448;1
60;3197;3518;-1
61;4987;11973;0
62;2385;1679;-1
63;2966;1177;-1
64;3448;12313;1
65;5958;1445;-1
66;10606;9342;0
67;3502;1922;-1
68;4417;1283;-1
69;4499;11469;1
70;4703;13439;1
71;2971;2422;-1
72;4804;14489;1
73;4124;1831;-1
74;4787;326;-1
75;4814;8391;1
76;3501;12313;1
77;4060;10713;1
78;3627;12539;1
79;4060;1469;-1
80;4139;3682;-1
81;3724;2494;-1
82;5224;1114;-1
83;6413;9916;1
84;4294;12330;1
85;4547;1025;-1
86;4183;13650;1
87;4799;13757;1
88;3537;1916;-1
89;3464;3206;-1
90;5477;817;-1
91;4167;785;-1
92;4666;10365;1
93;4452;12784;1
94;3908;13034;1
95;5766;13327;0
96;5216;7753;1
97;3579;2322;-1
98;5371;69;-1
99;3407;4185;-1
100;4868;87;-1
101;3714;6809;-1
102;4993;137;-1
103;4121;13158;1
104;3642;12336;1
105;19;1065;-1
106;4747;10280;1
107;4773;3059;-1
